"Probe1 Current (A)","Probe2 Current (A)","Floating Potential (V)","Density (m-3)","Ne/sqrt(Te)"
-3.269831E-07,-5.473413E-07,-2.8346975,2.650000E+10,6.806068E+10
-4.308015E-07,-6.411726E-07,-2.2052292,2.330000E+10,5.626313E+10
-3.938341E-06,-4.705958E-06,-0.0053300,1.032000E+11,1.971170E+11
-1.621859E-06,-2.263671E-06,-2.0426704,8.410000E+10,1.694240E+11
-7.125050E-07,-1.054509E-06,-2.3713005,4.400000E+10,8.853280E+10
-1.007478E-06,-1.221175E-06,-0.2789490,2.330000E+10,5.626313E+10
-8.214458E-07,-1.170492E-06,-2.1036129,4.400000E+10,8.853280E+10
-1.321223E-06,-1.819000E-06,-2.0340966,6.790000E+10,1.301440E+11
-3.571519E-07,-5.474491E-07,-2.3401707,2.160000E+10,5.378195E+10
-4.943158E-07,-7.676921E-07,-2.4889314,3.090000E+10,7.328120E+10
-7.409093E-07,-1.013125E-06,-1.5610673,2.650000E+10,6.806068E+10
-5.957989E-07,-8.216772E-07,-1.6117917,2.330000E+10,5.626313E+10
-4.941324E-06,-7.275581E-06,-2.4809061,2.940000E+11,5.969000E+11
-8.936015E-07,-1.163028E-06,-0.9893656,2.670000E+10,6.432335E+10
-2.768500E-06,-3.415198E-06,-0.5026173,8.410000E+10,1.694240E+11
-1.046021E-06,-1.462280E-06,-2.0305655,5.270000E+10,1.060380E+11
-4.894934E-07,-7.339188E-07,-2.2328035,2.670000E+10,6.432335E+10
-1.118836E-06,-1.478734E-06,-1.3846059,4.400000E+10,8.853280E+10
-1.078278E-06,-1.360165E-06,-0.8910698,3.090000E+10,7.328120E+10
-9.013527E-06,-1.124604E-05,-1.0959729,2.940000E+11,5.969000E+11
-1.134775E-06,-1.664891E-06,-2.4399325,7.180000E+10,1.370920E+11
-9.447261E-07,-1.164184E-06,-0.4707692,2.330000E+10,5.626313E+10
-9.184617E-07,-1.405222E-06,-2.6607554,6.480000E+10,1.305430E+11
-5.018067E-06,-7.350259E-06,-2.4541006,2.940000E+11,5.969000E+11
-1.140474E-06,-1.410207E-06,-0.4687090,2.650000E+10,6.806068E+10
-5.980074E-07,-8.815203E-07,-2.1870275,3.090000E+10,7.328120E+10
-9.678691E-07,-1.243923E-06,-0.9268948,2.650000E+10,6.806068E+10
-1.773950E-06,-2.320041E-06,-1.4376106,7.180000E+10,1.370920E+11
-4.610637E-07,-7.801899E-07,-2.9984214,4.400000E+10,8.853280E+10
-3.863332E-07,-6.183795E-07,-2.6409848,2.650000E+10,6.806068E+10
-3.552484E-07,-5.452091E-07,-2.3477290,2.160000E+10,5.378195E+10
-6.058494E-07,-9.392977E-07,-2.6357005,4.400000E+10,8.853280E+10
-1.366073E-06,-1.862125E-06,-1.9211423,6.480000E+10,1.305430E+11
-1.744005E-06,-2.387764E-06,-1.8777285,8.410000E+10,1.694240E+11
-4.857093E-07,-7.296306E-07,-2.2452808,2.670000E+10,6.432335E+10
-1.084962E-06,-1.349719E-06,-0.4515240,2.670000E+10,6.432335E+10
-6.240568E-07,-1.024032E-06,-2.8904834,5.270000E+10,1.060380E+11
-6.569201E-07,-9.946727E-07,-2.5088047,4.400000E+10,8.853280E+10
-3.023098E-07,-4.899924E-07,-2.6982047,2.330000E+10,5.626313E+10
-7.239321E-07,-9.400165E-07,-1.0272745,2.160000E+10,5.378195E+10
-9.405287E-07,-1.354960E-06,-2.2438415,5.270000E+10,1.060380E+11
-1.049353E-06,-1.576987E-06,-2.5745336,7.180000E+10,1.370920E+11
-1.077472E-06,-1.283324E-06,-0.0691155,2.330000E+10,5.626313E+10
-1.127763E-06,-1.544438E-06,-1.8660656,5.270000E+10,1.060380E+11
-1.674641E-06,-2.173802E-06,-1.4555235,6.790000E+10,1.301440E+11
-1.973281E-06,-2.523429E-06,-1.1267520,7.180000E+10,1.370920E+11
-9.560125E-07,-1.224926E-06,-0.8108342,2.670000E+10,6.432335E+10
-1.817331E-06,-2.315891E-06,-1.2226178,6.790000E+10,1.301440E+11
-5.834686E-07,-9.805928E-07,-2.9741745,5.270000E+10,1.060380E+11
-1.828769E-06,-2.603471E-06,-2.2561790,1.032000E+11,1.971170E+11
-3.605170E-06,-4.375946E-06,-0.3574499,1.032000E+11,1.971170E+11
-1.057433E-06,-1.473803E-06,-2.0075597,5.270000E+10,1.060380E+11
-6.039049E-06,-8.344326E-06,-2.1001658,2.940000E+11,5.969000E+11
-1.536259E-06,-2.035368E-06,-1.6817750,6.790000E+10,1.301440E+11
-7.958006E-07,-1.070327E-06,-1.4040816,2.650000E+10,6.806068E+10
-7.934664E-06,-1.019263E-05,-1.4557399,2.940000E+11,5.969000E+11
-6.621876E-06,-8.912246E-06,-1.9003089,2.940000E+11,5.969000E+11
-5.955554E-07,-8.788772E-07,-2.1940642,3.090000E+10,7.328120E+10
-1.055458E-06,-1.329225E-06,-0.6919855,2.650000E+10,6.806068E+10
-1.588382E-06,-2.229600E-06,-2.0879129,8.410000E+10,1.694240E+11
-8.055228E-07,-1.018988E-06,-0.7659148,2.160000E+10,5.378195E+10
-1.664544E-06,-2.162013E-06,-1.4368006,6.480000E+10,1.305430E+11
-8.821922E-06,-1.105888E-05,-1.1595094,2.940000E+11,5.969000E+11
-1.323851E-06,-1.579662E-06,-0.2816230,3.090000E+10,7.328120E+10
-3.870879E-07,-6.157626E-07,-2.5769764,2.670000E+10,6.432335E+10
-9.515623E-07,-1.306836E-06,-1.7869533,4.400000E+10,8.853280E+10
-7.502192E-07,-1.022892E-06,-1.5342696,2.650000E+10,6.806068E+10
-1.175539E-06,-1.435064E-06,-0.2062785,2.670000E+10,6.432335E+10
-2.049693E-06,-2.601280E-06,-1.0078029,7.180000E+10,1.370920E+11
-8.603444E-07,-1.136427E-06,-1.2225205,2.650000E+10,6.806068E+10
-6.964233E-06,-9.245998E-06,-1.7836333,2.940000E+11,5.969000E+11
-6.544771E-06,-8.837094E-06,-1.9266598,2.940000E+11,5.969000E+11
-2.397213E-06,-3.045588E-06,-0.9992659,8.410000E+10,1.694240E+11
-2.235713E-06,-2.790540E-06,-0.7187202,7.180000E+10,1.370920E+11
-1.894047E-06,-2.390124E-06,-1.0689651,6.480000E+10,1.305430E+11
-2.043074E-06,-2.690154E-06,-1.4747762,8.410000E+10,1.694240E+11
-1.647392E-06,-2.146592E-06,-1.5000458,6.790000E+10,1.301440E+11
-1.942268E-06,-2.588457E-06,-1.6104561,8.410000E+10,1.694240E+11
-1.706054E-06,-2.203429E-06,-1.3699786,6.480000E+10,1.305430E+11
-3.115566E-06,-3.757915E-06,-0.0400980,8.410000E+10,1.694240E+11
-1.283452E-06,-1.817691E-06,-2.2060260,7.180000E+10,1.370920E+11
-7.097912E-07,-9.260710E-07,-1.0735218,2.160000E+10,5.378195E+10
-3.596156E-07,-5.503446E-07,-2.3304022,2.160000E+10,5.378195E+10
-2.895706E-07,-4.662713E-07,-2.6145738,2.160000E+10,5.378195E+10
-5.072587E-07,-7.539745E-07,-2.1744612,2.670000E+10,6.432335E+10
-5.730857E-07,-7.976375E-07,-1.6911348,2.330000E+10,5.626313E+10
-8.352708E-07,-1.246403E-06,-2.4577657,5.270000E+10,1.060380E+11
-6.068791E-06,-8.373298E-06,-2.0899293,2.940000E+11,5.969000E+11
-1.003741E-06,-1.530016E-06,-2.6464680,7.180000E+10,1.370920E+11
-1.381288E-06,-1.793799E-06,-1.3600140,5.270000E+10,1.060380E+11
-8.000473E-07,-1.147843E-06,-2.1560064,4.400000E+10,8.853280E+10
-1.435793E-06,-1.934469E-06,-1.8462686,6.790000E+10,1.301440E+11
-4.633834E-07,-7.827642E-07,-2.9925748,4.400000E+10,8.853280E+10
-9.384924E-07,-1.425858E-06,-2.6273054,6.480000E+10,1.305430E+11
-2.389634E-07,-4.114348E-07,-2.9529396,2.330000E+10,5.626313E+10
-1.355327E-06,-1.853416E-06,-1.9781597,6.790000E+10,1.301440E+11
-2.434129E-06,-3.209975E-06,-1.6050392,1.032000E+11,1.971170E+11
-1.208342E-06,-1.478266E-06,-0.5643930,3.090000E+10,7.328120E+10
-1.155181E-06,-1.647953E-06,-2.2675799,6.480000E+10,1.305430E+11
-1.295028E-06,-1.554654E-06,-0.3515642,3.090000E+10,7.328120E+10
-8.735571E-07,-1.358891E-06,-2.7358661,6.480000E+10,1.305430E+11
-5.748418E-07,-7.995048E-07,-1.6849750,2.330000E+10,5.626313E+10
-1.241789E-06,-2.012866E-06,-2.8916964,1.032000E+11,1.971170E+11
-1.770539E-06,-2.269370E-06,-1.2989499,6.790000E+10,1.301440E+11
-5.429785E-07,-7.550579E-07,-1.6429763,2.160000E+10,5.378195E+10
-1.765232E-06,-2.409294E-06,-1.8490865,8.410000E+10,1.694240E+11
-1.121244E-06,-1.392040E-06,-0.5188188,2.650000E+10,6.806068E+10
-7.667571E-07,-1.112479E-06,-2.2376967,4.400000E+10,8.853280E+10
-9.797404E-07,-1.179990E-06,-0.2358508,2.160000E+10,5.378195E+10
-2.811047E-06,-3.457356E-06,-0.4458272,8.410000E+10,1.694240E+11
-1.049951E-06,-1.540359E-06,-2.4417894,6.480000E+10,1.305430E+11
-4.311908E-06,-6.663332E-06,-2.7018432,2.940000E+11,5.969000E+11
-8.543244E-07,-1.375982E-06,-2.8824200,7.180000E+10,1.370920E+11
-8.413953E-07,-1.067524E-06,-0.7948117,2.330000E+10,5.626313E+10
-1.886722E-06,-2.532322E-06,-1.6852783,8.410000E+10,1.694240E+11
-1.232144E-06,-1.726336E-06,-2.1407388,6.480000E+10,1.305430E+11
-6.781931E-07,-1.017626E-06,-2.4561058,4.400000E+10,8.853280E+10
-1.805876E-06,-2.580483E-06,-2.2808880,1.032000E+11,1.971170E+11
-8.976275E-07,-1.174061E-06,-1.1190729,2.650000E+10,6.806068E+10
-1.509377E-06,-2.006574E-06,-1.6877385,6.480000E+10,1.305430E+11
-3.741117E-07,-5.757345E-07,-2.4190610,2.330000E+10,5.626313E+10
-4.816551E-06,-7.154179E-06,-2.5245489,2.940000E+11,5.969000E+11
-2.190222E-06,-2.744292E-06,-0.7893503,7.180000E+10,1.370920E+11
-8.868120E-07,-1.372577E-06,-2.7136773,6.480000E+10,1.305430E+11
-9.610551E-07,-1.179134E-06,-0.4205067,2.330000E+10,5.626313E+10
-1.148179E-06,-1.918446E-06,-2.9934295,1.032000E+11,1.971170E+11
-1.239478E-06,-1.736348E-06,-2.1682674,6.790000E+10,1.301440E+11
-2.584740E-06,-3.360468E-06,-1.4437025,1.032000E+11,1.971170E+11
-7.523224E-07,-1.097096E-06,-2.2731866,4.400000E+10,8.853280E+10
-9.032887E-07,-1.179742E-06,-1.1034541,2.650000E+10,6.806068E+10
-8.450506E-07,-1.136825E-06,-1.5012355,3.090000E+10,7.328120E+10
-1.233908E-06,-1.594849E-06,-1.1108182,4.400000E+10,8.853280E+10
-7.600215E-07,-9.752543E-07,-0.9105420,2.160000E+10,5.378195E+10
-3.515924E-07,-6.036020E-07,-2.9201047,3.090000E+10,7.328120E+10
-6.116158E-07,-1.010741E-06,-2.9161176,5.270000E+10,1.060380E+11
-1.249902E-06,-1.503807E-06,-0.0090219,2.670000E+10,6.432335E+10
-8.911597E-07,-1.243834E-06,-1.9335444,4.400000E+10,8.853280E+10
-6.853023E-07,-9.017301E-07,-1.1543115,2.160000E+10,5.378195E+10
-1.472635E-06,-2.245436E-06,-2.6412691,1.032000E+11,1.971170E+11
-1.294951E-06,-1.553124E-06,-0.0740450,2.650000E+10,6.806068E+10
